"core","subcore","sample.label","depth_cm","depth.upr_cm","depth.lwr_cm","depth.range","age.14C","age.14C.se","count.14C","species","size.fraction","n.forams","n.forams.grp","cruise","site","age.14C.count.se","offset","age.14C.cal","age.14C.cal.se"
"GeoB 10058-1",NA,"GeoB 10058-1_11-12cm",11.5,11,12,"11-12",609.30123883026,93.050589011723,11006,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",5.8051831747347,0,110,85.7316337104627
"GeoB 10058-1",NA,"GeoB 10058-1_11-12cm",11.5,11,12,"11-12",560.234008989111,93.4269473075312,10856,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",5.37442415428841,0,NA,NA
"GeoB 10058-1",NA,"GeoB 10058-1_11-12cm",11.5,11,12,"11-12",140.718191808105,85.6702686918652,13917,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",1.19224072061519,0,NA,NA
"GeoB 10058-1",NA,"GeoB 10058-1_11-12cm",11.5,11,12,"11-12",831.410864666594,95.3943766033516,10284,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",8.19480788722192,0,289,114.39492252491
"GeoB 10058-1",NA,"GeoB 10058-1_11-12cm",11.5,11,12,"11-12",270.170473844236,98.7473050372466,9234,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",2.81017187158372,0,NA,NA
"GeoB 10058-1",NA,"GeoB 10058-1_11-12cm",11.5,11,12,"11-12",641.00235748683,81.9723497212929,16279,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",5.02163542863081,0,122,86.579071064135
"GeoB 10058-1",NA,"GeoB 10058-1_11-12cm",11.5,11,12,"11-12",713.656741733238,103.71516818468,8158,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",7.89766564771649,0,181,109.003833911664
"GeoB 10058-1",NA,"GeoB 10058-1_11-12cm",11.5,11,12,"11-12",774.899560120553,106.99418016235,7521,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",8.93121104279062,0,232,118.51128526226
"GeoB 10058-1",NA,"GeoB 10058-1_11-12cm",11.5,11,12,"11-12",869.770632702374,97.0813956256634,9801,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",8.78161906723036,0,326,112.979628521285
"GeoB 10058-1",NA,"GeoB 10058-1_11-12cm",11.5,11,12,"11-12",-144.808333530955,96.1170165256598,9880,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",-1.45610895750226,0,NA,NA
"GeoB 10058-1",NA,"GeoB 10058-1_11-12cm",11.5,11,12,"11-12",800.207916839964,92.4648333253619,11249,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",7.54135244363407,0,257,113.120128966954
"GeoB 10058-1",NA,"GeoB 10058-1_11-12cm",11.5,11,12,"11-12",188.314273424268,111.869094155185,6641,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",2.30969311232534,0,NA,NA
"GeoB 10058-1",NA,"GeoB 10058-1_11-12cm",11.5,11,12,"11-12",576.771914691413,101.575365020905,8610,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",6.21298539110681,0,NA,NA
"GeoB 10058-1",NA,"GeoB 10058-1_11-12cm",11.5,11,12,"11-12",397.767896992052,93.3240796612355,10857,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",3.81564581955919,0,NA,NA
"GeoB 10058-1",NA,"GeoB 10058-1_11-12cm",11.5,11,12,"11-12",839.336440259769,100.245879444866,8954,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",8.86608401143806,0,296,116.850214543836
"GeoB 10058-1",NA,"GeoB 10058-1_29-30cm",29.5,29,30,"29-30",1398.08146773607,128.25858036237,4752,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",20.2727061845129,0,791,135.313942866609
"GeoB 10058-1",NA,"GeoB 10058-1_29-30cm",29.5,29,30,"29-30",1320.47464736193,95.0043465725223,10221,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",13.0556669748793,0,715,105.31506760876
"GeoB 10058-1",NA,"GeoB 10058-1_29-30cm",29.5,29,30,"29-30",2096.28237963248,118.946253041011,5717,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",27.7139451085608,0,1504,145.246180794406
"GeoB 10058-1",NA,"GeoB 10058-1_29-30cm",29.5,29,30,"29-30",1321.25668683392,104.953398578891,7811,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",14.943405711997,0,718,112.993880475491
"GeoB 10058-1",NA,"GeoB 10058-1_29-30cm",29.5,29,30,"29-30",2479.95491994404,115.898976366548,6104,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",31.7305058679911,0,1959,161.215248412837
"GeoB 10058-1",NA,"GeoB 10058-1_29-30cm",29.5,29,30,"29-30",900.157865333588,114.934493318692,6187,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",11.4389038060684,0,350,123.195114740591
"GeoB 10058-1",NA,"GeoB 10058-1_29-30cm",29.5,29,30,"29-30",1566.38585892737,108.512811514979,7173,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",18.4871339403435,0,955,130.471000714014
"GeoB 10058-1",NA,"GeoB 10058-1_29-30cm",29.5,29,30,"29-30",1112.97567841787,97.5799306028723,9479,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",11.4265540317914,0,538,100.279887146654
"GeoB 10058-1",NA,"GeoB 10058-1_29-30cm",29.5,29,30,"29-30",1269.81955603166,107.977435894117,7255,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",14.9017689950778,0,671,113.034602069516
"GeoB 10058-1",NA,"GeoB 10058-1_29-30cm",29.5,29,30,"29-30",1102.54667404045,97.3338927110272,9543,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",11.2814556667645,0,530,99.9167310802717
"GeoB 10058-1",NA,"GeoB 10058-1_29-30cm",29.5,29,30,"29-30",2997.58956829225,89.993103858687,12086,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",27.257204019711,0,2598,127.589125367156
"GeoB 10058-1",NA,"GeoB 10058-1_29-30cm",29.5,29,30,"29-30",1157.65728923301,98.1747125890188,9325,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",11.9830536933291,0,575,99.1094743362563
"GeoB 10058-1",NA,"GeoB 10058-1_29-30cm",29.5,29,30,"29-30",1326.7105590621,95.0426478432592,10210,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",13.1243906273432,0,722,105.507826955779
"GeoB 10058-1",NA,"GeoB 10058-1_29-30cm",29.5,29,30,"29-30",2505.32108130622,104.39121220617,7976,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",28.0421814653012,0,1990,148.921124851975
"GeoB 10058-1",NA,"GeoB 10058-1_29-30cm",29.5,29,30,"29-30",2035.76457072552,91.408339735188,11460,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",19.0093226371072,0,1438,115.00277548017
"GeoB 10058-1",NA,"GeoB 10058-1_29-30cm",29.5,29,30,"29-30",1850.62490782801,90.4078940750151,11819,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",17.0159226618441,0,1242,112.289784166414
